,ba_m,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
30,3,0.1,0,opinion-timeseries,dem,"[64.       64.       64.        8.466666  8.466666  8.466666  8.466666
 84.13333  84.13333  84.13333  84.13333  84.13333  84.13333  84.13333
 84.13333  84.13333  84.13333  84.13333  83.13333  83.13333  13.866667
 13.866667 84.86667  16.8       9.        9.        9.        9.
  9.        9.        9.        9.        9.        9.        9.
 82.63333  82.63333  90.       90.       90.       90.       83.53333
 83.53333  82.53333  82.53333  90.       90.       90.       90.
 89.       90.       90.       89.       89.       90.       90.
 90.       90.       90.       90.       90.       90.       90.
 14.233334]",0.32722201965855297,336.5702077942069,0.3062439096323528
31,3,0.1,0,opinion-timeseries,mod,"[52. 62. 62. 56. 56. 55. 55. 56. 56. 56. 55. 55. 55. 55. 54. 54. 54. 54.
 54. 54. 50. 55. 55. 50. 50. 50. 50. 55. 55. 55. 55. 55. 55. 55. 50. 55.
 55. 55. 50. 50. 50. 55. 55. 55. 55. 55. 55. 55. 55. 55. 55. 55. 55. 55.
 55. 55. 55. 55. 55. 55. 55. 55. 50. 50.]",-0.3491542990401839,176.69046239115457,0.2683704567910823
32,3,0.1,0,opinion-timeseries,rep,"[52.       76.4      77.       64.76667  64.76667  41.7      41.7
 65.03333  67.       67.       42.966667 42.966667 42.966667 42.966667
 42.966667 41.966667 41.966667 39.       39.       39.       38.033333
 64.03333  66.       40.833332 35.466667 35.       35.       63.033333
 63.033333 66.       66.       64.96667  64.666664 66.       40.666668
 65.333336 66.       66.       40.866665 35.7      35.1      63.366665
 63.366665 66.       66.       66.       66.       66.       66.
 66.       66.       66.       66.       66.       66.       66.
 66.       66.       66.       66.       66.       66.       40.866665
 35.9     ]",0.11781677537583224,123.49641392737529,0.1897815013174044
33,3,0.1,1,opinion-timeseries,dem,"[66.       66.       66.        6.1       6.1       6.1       6.1
 80.86667  80.86667  80.86667  74.23333  69.933334 68.433334 68.433334
 67.36667  67.36667  67.36667  67.36667  65.73333  62.633335  5.233333
  5.233333 77.96667   7.1       5.        5.        5.        5.
  5.        5.        5.        5.        5.        5.        5.
 80.13333  80.13333  90.86667  90.86667  90.86667  90.86667  78.26667
 78.26667  71.9      71.9      90.833336 91.       91.       91.
 81.26667  91.       91.       84.53333  79.7      91.       91.
 91.       91.       91.       91.       91.       91.       91.
  6.866667]",0.34674381096729406,362.94741550587344,0.35362246801184327
34,3,0.1,1,opinion-timeseries,mod,"[38.  41.  41.  33.6 33.6 32.6 32.6 33.6 33.6 33.6 32.6 32.6 32.6 32.6
 32.6 32.6 32.6 32.6 32.6 32.6 32.  33.  33.  32.  32.  32.  32.  33.
 33.  33.  33.  33.  33.  33.  32.  33.  33.  33.  32.  32.  32.  33.
 33.  33.  33.  33.  33.  33.  32.  32.  33.  33.  32.  32.  33.  32.
 32.  32.  32.  32.  33.  33.  32.  32. ]",-0.6514208340618136,338.579339708172,0.5457735062572379
35,3,0.1,1,opinion-timeseries,rep,"[49.       68.76667  69.       56.233334 56.233334 32.866665 32.866665
 55.       57.6      57.6      33.2      33.2      33.2      33.2
 32.566666 32.2      32.2      28.933332 28.933332 28.933332 28.533333
 54.666668 57.233334 35.033333 28.       28.       28.       54.333332
 54.333332 57.       57.       54.7      54.9      57.       35.166668
 55.2      57.       56.5      31.266666 28.       28.       54.2
 54.2      57.       57.       57.       57.       57.       53.533333
 53.533333 57.       57.       57.       56.8      57.       53.5
 53.5      53.5      53.       53.       56.266666 57.       31.966667
 29.      ]",0.06819826481924858,169.37998950137245,0.29135216761350263
36,3,0.1,2,opinion-timeseries,dem,"[65.       65.       65.        8.733334  8.733334  8.733334  8.733334
 85.566666 85.566666 85.566666 80.333336 77.433334 74.26667  74.26667
 69.53333  69.53333  69.53333  69.53333  60.266666 53.966667 12.066667
 12.066667 81.7      17.133333 10.       10.       10.       10.
 10.       10.       10.       10.       10.       10.       10.
 84.566666 84.566666 92.76667  92.76667  92.76667  92.76667  85.53333
 85.53333  80.6      80.6      92.36667  92.666664 92.933334 93.
 77.76667  92.96667  92.96667  87.73333  83.2      93.       93.
 93.       93.       93.       93.       93.       93.       93.
 13.133333]",0.3641539069563758,339.2091150267537,0.32202511528659344
37,3,0.1,2,opinion-timeseries,mod,"[42. 55. 55. 53. 53. 51. 51. 53. 53. 53. 51. 51. 51. 51. 51. 51. 51. 51.
 51. 51. 48. 53. 53. 48. 48. 48. 48. 53. 53. 53. 53. 53. 53. 53. 48. 53.
 53. 53. 48. 48. 48. 53. 53. 53. 53. 54. 54. 54. 54. 54. 54. 54. 54. 54.
 54. 54. 54. 54. 54. 54. 54. 54. 48. 48.]",0.18540625947806205,190.4154392374736,0.29248274067332247
38,3,0.1,2,opinion-timeseries,rep,"[47.       68.       68.       58.533333 58.533333 39.433334 39.433334
 58.366665 60.666668 61.       40.166668 40.166668 40.166668 40.166668
 40.133335 39.7      39.7      37.       37.       37.       36.633335
 58.366665 61.       40.8      36.       36.       36.       58.5
 58.5      60.8      61.       58.833332 58.9      60.866665 41.233334
 58.4      60.733334 61.       38.8      36.       36.       61.233334
 61.233334 62.3      63.       63.       63.       63.       58.
 58.       63.       63.       62.433334 61.866665 63.       58.
 58.       58.       58.       58.       63.       63.       41.033333
 39.      ]",0.1753113854074574,126.72509625726683,0.21272113011892882
39,3,0.1,3,opinion-timeseries,dem,"[72.       72.       72.        9.766666  9.766666  9.766666  9.766666
 83.73333  83.73333  83.73333  66.066666 51.533333 45.333332 45.333332
 42.       42.       42.       42.       39.8      37.633335  8.
  8.       60.4       9.8       8.        8.        8.        8.
  8.        8.        8.        8.        8.        8.        8.
 84.13333  84.13333  94.066666 94.066666 94.066666 94.066666 83.5
 83.5      66.73333  66.73333  93.8      95.       95.       95.
 60.933334 93.3      93.3      68.26667  47.533333 91.       91.
 91.       91.       91.       91.       94.166664 95.       95.
 12.6     ]",0.3544604393480345,373.87637968543,0.3928381029477303
40,3,0.1,3,opinion-timeseries,mod,"[42.       46.466667 47.       41.833332 41.833332 39.833332 39.833332
 40.833332 41.833332 41.833332 39.833332 39.766666 39.433334 39.433334
 39.       39.       39.       39.       39.       39.       37.
 41.       41.       37.       37.       37.       37.       41.
 41.       41.       41.       41.       41.       41.       37.
 41.       41.       41.       37.       37.       37.       41.
 41.       41.       41.       41.       41.       41.       41.
 41.       41.       41.       41.       41.       41.       41.
 41.       41.       41.       41.       41.       41.       37.
 37.      ]",-0.3642223588792935,281.75734788883574,0.44702519709658733
41,3,0.1,3,opinion-timeseries,rep,"[47.       66.6      68.       55.133335 55.133335 33.633335 33.633335
 54.233334 56.266666 57.833332 34.633335 33.833332 33.733334 33.733334
 33.7      32.666668 32.666668 30.       30.       30.       30.
 53.8      57.       33.566666 30.       30.       30.       54.
 54.       57.       57.       54.966667 55.133335 57.       35.166668
 54.066666 57.       57.       32.4      30.       30.       53.933334
 53.933334 55.633335 57.3      57.       57.       57.       51.566666
 50.766666 57.       58.       53.666668 51.366665 57.       51.3
 51.3      51.3      50.2      50.2      57.       57.       34.1
 31.2     ]",0.07045555265614041,166.4789334258474,0.2882365302794272
