,ba_m,complex_spread_ratio,group_homophily,repetition,measure,pen_name,data,pearson,euclidean,mape
30,3,0.05,0.25,0,opinion-timeseries,dem,"[56.       56.       56.       20.1      20.1      20.1      20.1
 76.933334 76.933334 76.933334 65.36667  48.333332 42.7      42.7
 41.566666 41.566666 41.566666 41.566666 41.4      41.4      23.8
 23.8      52.4      24.966667 21.133333 21.       21.       21.
 21.       21.       21.       21.       21.       21.       21.
 73.933334 73.933334 76.       76.       76.       76.       73.63333
 73.63333  52.266666 52.266666 75.86667  76.       76.       76.
 53.766666 75.86667  75.86667  53.366665 44.533333 75.933334 75.933334
 75.933334 75.933334 75.933334 75.933334 76.       76.       76.
 25.333334]",0.36549618232282793,344.12076858546425,0.42300045195754765
31,3,0.05,0.25,0,opinion-timeseries,mod,"[50.       59.       59.       49.1      49.1      49.1      49.1
 49.233334 49.233334 49.233334 48.966667 48.233334 48.233334 48.233334
 48.233334 48.233334 48.233334 48.233334 48.233334 48.233334 42.1
 48.833332 49.       42.166668 42.       42.       42.       48.7
 48.7      49.       49.       49.       49.       49.       42.1
 48.9      49.       49.       42.433334 42.       42.       48.766666
 48.766666 48.       49.       49.       49.       49.       48.
 48.       49.       49.       48.       48.       49.       48.
 48.       48.       48.       48.       49.       49.       42.266666
 42.      ]",-0.4177696797753934,225.99354094711023,0.3499331365297732
32,3,0.05,0.25,0,opinion-timeseries,rep,"[54.       67.       67.       63.566666 63.566666 53.433334 53.433334
 61.833332 63.533333 64.       52.733334 52.366665 52.366665 52.366665
 52.366665 52.366665 52.366665 51.       51.       51.       51.
 63.433334 64.       56.933334 51.       51.       51.       63.266666
 63.266666 64.       64.       63.4      63.633335 64.       57.966667
 63.8      64.       64.       52.3      51.       51.       62.
 62.       60.5      64.       64.       64.       64.       61.
 61.       64.       64.       61.       61.       64.       61.
 61.       61.       61.       61.       64.       64.       53.066666
 52.      ]",0.14152615677062166,71.80372062300886,0.12769298410361224
33,3,0.05,0.25,1,opinion-timeseries,dem,"[63.       63.       63.       20.433332 20.433332 20.433332 20.433332
 72.26667  72.26667  72.26667  59.233334 49.333332 48.066666 48.066666
 47.7      47.7      47.7      47.7      46.866665 46.866665 22.266666
 22.266666 53.433334 22.133333 20.       20.       20.       20.
 20.       20.       20.       20.       20.       20.       20.
 66.566666 66.566666 75.       75.       75.       75.       66.166664
 66.166664 53.366665 53.366665 74.066666 75.       75.       75.
 56.366665 74.4      74.4      56.266666 50.4      73.6      73.6
 73.6      73.6      73.6      73.6      75.       75.       75.
 23.3     ]",0.31863821676266146,343.99146551870183,0.42377980160700535
34,3,0.05,0.25,1,opinion-timeseries,mod,"[42.       50.633335 51.       46.9      46.9      46.9      46.9
 46.9      46.9      46.9      46.9      46.9      46.9      46.9
 45.9      45.9      45.9      45.9      45.9      45.9      38.9
 46.       46.       38.966667 38.       38.       38.       46.
 46.       46.       46.       46.       46.       46.       39.
 46.       46.       46.       38.466667 38.       38.       46.
 46.       46.       46.       47.       47.       47.       46.
 46.       47.       47.       46.       46.       47.       46.
 46.       46.       46.       46.       47.       47.       39.366665
 39.      ]",-0.21841203164130418,245.5354587017155,0.3810465129390159
35,3,0.05,0.25,1,opinion-timeseries,rep,"[52.       63.       63.       57.566666 57.566666 47.366665 47.366665
 53.566666 57.6      58.       47.466667 47.466667 47.466667 47.466667
 47.466667 47.466667 47.466667 47.       47.       47.       47.
 57.4      58.       49.066666 47.       47.       47.       57.5
 57.5      58.       58.       57.6      57.533333 58.       49.
 54.166668 57.533333 58.       47.533333 47.       47.       52.133335
 52.133335 57.166668 58.       58.       58.       58.       57.
 57.       58.       58.       57.766666 57.166668 58.       57.
 57.       57.       57.       57.       58.       58.       47.5
 47.      ]",0.11623386837686314,98.89557899838486,0.18208873035911238
36,3,0.05,0.25,2,opinion-timeseries,dem,"[61.       61.       61.       25.133333 25.133333 25.133333 25.133333
 80.5      80.5      80.5      72.73333  63.7      58.866665 58.866665
 57.7      57.7      57.7      57.7      57.533333 57.533333 28.4
 28.4      70.6      29.4      23.3      23.       23.       23.
 23.       23.       23.       23.       23.       23.       23.
 75.       75.       81.63333  81.63333  81.63333  81.63333  75.63333
 75.63333  67.5      67.5      81.933334 82.833336 83.       83.
 71.86667  83.       83.       74.566666 66.333336 83.       83.
 83.       83.       83.       83.       83.       83.       83.
 26.966667]",0.37098502327635385,298.1696187142087,0.34136167506599735
37,3,0.05,0.25,2,opinion-timeseries,mod,"[42.       48.       48.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       38.
 44.       44.       38.       38.       38.       38.       44.
 44.       44.       44.       44.       44.       44.       38.
 44.       44.       44.       38.       38.       38.       44.
 44.       44.       44.       45.566666 46.       46.       46.
 46.       46.       46.       46.       46.       46.       46.
 46.       46.       46.       46.       46.       46.       40.
 40.      ]",-0.042423550070411736,254.7500409089516,0.40156472388256526
38,3,0.05,0.25,2,opinion-timeseries,rep,"[48.       60.       60.       54.433334 54.433334 41.066666 41.066666
 52.166668 54.7      55.866665 42.3      42.3      42.3      42.3
 42.3      41.8      41.8      40.       40.       40.       40.
 53.666668 56.       45.6      40.3      40.       40.       53.8
 53.8      55.766666 56.       55.1      54.833332 55.8      45.3
 54.633335 56.       56.       42.133335 40.3      40.       52.633335
 52.633335 55.466667 56.733334 57.       57.       57.       56.
 56.       57.       57.       57.       57.       57.       56.
 56.       56.       56.       56.       57.       57.       43.366665
 41.266666]",0.21429399728632725,122.59474661052289,0.22175345613206948
39,3,0.05,0.25,3,opinion-timeseries,dem,"[67.       67.       67.       26.166666 26.166666 26.166666 26.166666
 80.76667  80.76667  80.76667  68.566666 54.933334 47.2      47.2
 44.733334 44.733334 44.733334 44.733334 44.3      44.233334 26.366667
 26.366667 62.7      26.833334 25.       25.       25.       25.
 25.       25.       25.       25.       25.       25.       25.
 76.63333  76.63333  85.833336 85.833336 85.833336 85.833336 77.7
 77.7      60.066666 60.066666 85.63333  86.       86.       86.
 63.9      85.23333  85.23333  66.1      51.6      84.833336 84.833336
 84.833336 84.833336 84.833336 84.833336 86.       86.       86.
 30.2     ]",0.36639657896736116,308.3927210061928,0.3539843409710963
