,ba_m,simple_spread_chance,group_homophily,repetition,pearson,euclidean,mape
456,5,0.75,0.25,6,-0.00041065328000661666,475.4292439013452,0.6894449691242834
457,5,0.75,0.25,7,-0.005667706656156936,475.31442192031403,0.6892313706891372
458,5,0.75,0.25,8,0.0016286687774750102,475.62246996460084,0.6900899502182806
459,5,0.75,0.25,9,0.009231480531910294,474.55133380933603,0.6883180998485162
460,5,0.75,0.5,0,0.0017583089872697983,473.5170884475099,0.6853348690612847
461,5,0.75,0.5,1,0.000985353554716989,474.13797108127113,0.6853290015585686
462,5,0.75,0.5,2,0.002787298152235315,473.8836471819247,0.6855411965444743
463,5,0.75,0.5,3,0.002892125089907998,472.72097967427317,0.6825356858166831
464,5,0.75,0.5,4,0.0007773914975338405,473.6694700181515,0.6853980511047713
465,5,0.75,0.5,5,0.0008385703253156601,474.0419898165314,0.6856957554148696
466,5,0.75,0.5,6,0.008270573390781766,473.88806312858173,0.6862403969886476
467,5,0.75,0.5,7,0.0053525896891428405,473.4554128018851,0.6846722253227083
468,5,0.75,0.5,8,0.0007659031263750476,473.6721664711854,0.686100811340717
469,5,0.75,0.5,9,0.0036889974500992537,473.0664805818985,0.6852738295570635
470,5,0.75,0.75,0,-0.00200561766726666,473.4419349192578,0.6880336296425466
471,5,0.75,0.75,1,0.0023497578912771294,473.60648334497597,0.6863935216058746
472,5,0.75,0.75,2,-0.0022393540616082405,473.62478720049916,0.6872029196616318
473,5,0.75,0.75,3,0.0013535753610646785,472.9903064827199,0.6853852758737341
474,5,0.75,0.75,4,-0.0008562210653085175,474.385966503656,0.689105663747197
475,5,0.75,0.75,5,0.010279570471960377,473.1634550555884,0.6870613290110157
476,5,0.75,0.75,6,0.004491436479986746,472.0981489589007,0.6842358664592743
477,5,0.75,0.75,7,0.002176753965785483,473.35914976860477,0.6857038986070757
478,5,0.75,0.75,8,0.007264685055431222,473.77885895620165,0.6892751372933824
479,5,0.75,0.75,9,0.0005242421569922745,472.8353289085942,0.6856537389282625
480,10,0.01,0.1,0,-0.7730050669505825,246.85565729161303,0.3692625687031064
481,10,0.01,0.1,1,-0.7336293773322448,258.44139770208454,0.3901236100047561
482,10,0.01,0.1,2,-0.7555981630512,249.22654508382286,0.3731412680729735
483,10,0.01,0.1,3,-0.7425523393209926,248.47998209240066,0.37322196208928937
484,10,0.01,0.1,4,-0.7193780601552474,250.2595406493189,0.3778974470079843
485,10,0.01,0.1,5,-0.7737897100326222,264.32170620017297,0.40173749950497034
486,10,0.01,0.1,6,-0.7242601318632302,254.67946532387143,0.3825400659030042
487,10,0.01,0.1,7,-0.8285953742658747,257.5867951705183,0.38905966262102787
488,10,0.01,0.1,8,-0.7045530358215418,254.7506272541177,0.38350572636862323
489,10,0.01,0.1,9,-0.8179102236213418,245.12658724974267,0.3641626624028647
490,10,0.01,0.25,0,-0.8099877497833484,245.9509342483451,0.366766634645099
491,10,0.01,0.25,1,-0.7112870850161576,248.50634524645182,0.37398466365635774
492,10,0.01,0.25,2,-0.7447477317502641,252.3690855611098,0.38201540037419535
493,10,0.01,0.25,3,-0.6858786168055354,242.39937046426678,0.36252832620911263
494,10,0.01,0.25,4,-0.6961828208081532,255.63767863379692,0.3873801113437496
495,10,0.01,0.25,5,-0.7325332364122427,257.7122288876164,0.38794527311201626
496,10,0.01,0.25,6,-0.6481345186746988,260.52715737876764,0.39501061244015806
497,10,0.01,0.25,7,-0.7358682319584666,248.08545093620788,0.36975251570822737
498,10,0.01,0.25,8,-0.6732789687159046,259.62958081772314,0.39326785084221405
499,10,0.01,0.25,9,-0.6998210967936407,247.04819253875266,0.37042356975774043
500,10,0.01,0.5,0,-0.8391998456099476,248.66495698173478,0.3732728992927508
501,10,0.01,0.5,1,-0.817020604971428,240.23459056619222,0.35810106104242
502,10,0.01,0.5,2,-0.7383280479707697,246.43963349689815,0.36940884711846983
503,10,0.01,0.5,3,-0.7219336107252304,251.36710693415264,0.37641218228640677
504,10,0.01,0.5,4,-0.8365754223104083,246.77602355957742,0.36713658691461243
505,10,0.01,0.5,5,-0.7760375771505816,242.79460310467093,0.35968579402122236
506,10,0.01,0.5,6,-0.7745181210564084,244.7611743448666,0.36680158650478106
507,10,0.01,0.5,7,-0.8463508369434117,242.11169474222234,0.36161151729094404
508,10,0.01,0.5,8,-0.7688769068098017,244.15611389806134,0.36562280236099537
509,10,0.01,0.5,9,-0.7955426575365948,249.8657656444088,0.3749875084642249
510,10,0.01,0.75,0,-0.806009574233002,248.47285861873942,0.3706389488638555
511,10,0.01,0.75,1,-0.782850895846208,250.5849380105537,0.37568981385515765
512,10,0.01,0.75,2,-0.7826327535702869,252.33681077294614,0.3775011951297573
513,10,0.01,0.75,3,-0.7005501329010088,257.64651259568046,0.3879455457621885
514,10,0.01,0.75,4,-0.7691649029992962,243.23979831184522,0.36435815711117775
515,10,0.01,0.75,5,-0.6051276850358653,251.9445485301325,0.38062074388408434
516,10,0.01,0.75,6,-0.7996396857244527,247.4900536327523,0.3717247588919195
517,10,0.01,0.75,7,-0.7662125151959583,249.10709638597632,0.3724671683938681
518,10,0.01,0.75,8,-0.7814237291203456,256.56228572607364,0.3853782901592651
519,10,0.01,0.75,9,-0.7617775239748298,245.74149151231197,0.36677337903102236
520,10,0.05,0.1,0,-0.5455107328024253,332.7550879352629,0.4990354740010801
521,10,0.05,0.1,1,-0.5500038196857355,331.2044144520033,0.4965738235641443
522,10,0.05,0.1,2,-0.5796220547532184,338.20043083835156,0.5065794531392882
523,10,0.05,0.1,3,-0.5097165916419972,329.8707546655259,0.4969810559171613
524,10,0.05,0.1,4,-0.45962708926238277,335.18359945426636,0.5060306990139037
525,10,0.05,0.1,5,-0.49354089012656793,333.9900160527887,0.5022860272010855
526,10,0.05,0.1,6,-0.4527544501152508,337.6853386389433,0.5112403153331507
527,10,0.05,0.1,7,-0.5149818307453765,339.3263010989034,0.5087306677462342
528,10,0.05,0.1,8,-0.536442139805005,336.0953897579846,0.5050320415458601
529,10,0.05,0.1,9,-0.5167328309457071,336.81034910964894,0.5071735778461488
530,10,0.05,0.25,0,-0.4957397280494968,333.3167980749535,0.501288500132679
531,10,0.05,0.25,1,-0.5107897331933532,329.9898377662792,0.4943855180563353
532,10,0.05,0.25,2,-0.5477136280235597,332.62139263627853,0.4981657054837343
533,10,0.05,0.25,3,-0.5214519194630324,333.9883233783541,0.5011129536866042
534,10,0.05,0.25,4,-0.5297426148413034,332.00235473004585,0.4986994753629199
535,10,0.05,0.25,5,-0.5490991932388144,333.2590301688793,0.4984514551591958
536,10,0.05,0.25,6,-0.5066682709949281,331.05453883196225,0.49690520127988114
537,10,0.05,0.25,7,-0.5335116434429784,329.20990816472886,0.4930665233998836
538,10,0.05,0.25,8,-0.49750407007469183,335.7812571068125,0.5043356935274929
539,10,0.05,0.25,9,-0.4974631829828573,334.4595808223451,0.5018943495124929
540,10,0.05,0.5,0,-0.5698660841676912,328.126578258062,0.48868408530989216
541,10,0.05,0.5,1,-0.5054501525249072,331.5264114898562,0.4967717105640593
542,10,0.05,0.5,2,-0.535327336496184,331.5718163892529,0.49682955172186477
543,10,0.05,0.5,3,-0.5154319861014672,336.8932591731072,0.5075916828451462
544,10,0.05,0.5,4,-0.48512061193537165,330.5159046115244,0.4968925053515492
