,ba_m,complex_spread_ratio,repetition,run,pearson,euclidean,mape
5602,15,0.05,9,23,0.135071911899179,338.82700568292904,0.4728451885764244
5603,15,0.05,9,24,0.1393367010746864,343.399901575872,0.4811056646218462
5604,15,0.05,9,25,0.10475839744335423,301.96491808283105,0.4111512218594589
5605,15,0.05,9,26,0.13914261303435804,339.4288005621542,0.4721111179622122
5606,15,0.05,9,27,0.1348905934781126,337.3678919103284,0.4652281905644207
5607,15,0.05,9,28,0.13556775732830825,339.07316836781155,0.4701314459316604
5608,15,0.05,9,29,0.13269938570577677,339.5245138775637,0.4713246929337887
5609,15,0.1,0,0,0.146694753908562,287.2001397207963,0.38962801533648966
5610,15,0.1,0,1,0.00921143028565182,318.8929871468031,0.402476544376502
5611,15,0.1,0,2,0.011287927155975513,320.5091153044321,0.4050958327352265
5612,15,0.1,0,3,0.010816425039702407,319.5192265777138,0.4022621788475629
5613,15,0.1,0,4,0.012927715098940093,320.1104531607978,0.403967925424429
5614,15,0.1,0,5,0.009954908840293838,319.33247743510566,0.40537630182918943
5615,15,0.1,0,6,0.015083320777333728,319.3104796087378,0.4006576496110201
5616,15,0.1,0,7,0.007730604639474346,320.3334713396163,0.4069028085053496
5617,15,0.1,0,8,0.002958375703707198,320.61526963704955,0.4081810426349774
